step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,17,1,scheduled,-0.5201569065825549,1.0,-1.5151515151515138,-0.005005391431041062,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002890725387260318,0.0006269295699894428,0.006493127904832363,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,17,1,scheduled,-0.5213674899564591,1.0,-1.5151515151515138,-0.00621597480494529,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002890725387260318,0.0006269295699894428,0.00891429465264082,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,17,1,scheduled,-0.524237627526885,1.0,-1.5151515151515138,-0.009086112375371158,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0036684332881122828,0.0034984913654625416,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,17,1,scheduled,0.9774782517924905,1.0,-0.0,-0.022521748207509518,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.014031755737960339,0.009001140482723713,0.022010600194334984,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,17,1,scheduled,0.9673900539055467,1.0,-0.0,-0.032609946094453335,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.019534412771463394,0.012669576331973076,0.0330159030854702,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,17,1,scheduled,0.94969766959548,1.0,-0.0,-0.050302330404520035,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.036691661924123764,0.019891798496246338,0.04402120038866997,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,17,1,scheduled,0.9819489151705056,1.0,-0.0,-0.018051084829494357,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.012839516624808311,0.007084864657372236,0.016177788376808167,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,17,1,scheduled,0.9792284155264497,1.0,-0.0,-0.02077158447355032,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.016423573717474937,0.008941806852817535,0.016177788376808167,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,17,1,scheduled,0.9836958311498165,1.0,-0.0,-0.016304168850183487,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.008393377996981144,0.004295363090932369,0.01991959661245346,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,17,1,scheduled,0.9774798594880849,1.0,-0.0,-0.022520140511915088,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.011284098960459232,0.0049222917295992374,0.028833890333771706,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
10,10,openb-pod-6938,17,1,scheduled,0.9703423650935292,1.0,-0.0,-0.029657634906470776,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.018620969727635384,0.008338723331689835,0.03235557675361633,0.0,12694527.0,7960.0,7960.0,2940.0,0.00328125,0.99671875,0.008883928571428572,0.9911160714285714
11,11,openb-pod-6939,0,1,scheduled,0.9538689199835062,1.0,-0.0,-0.0461310800164938,0.0,0.0,0.0,0.0,5.918560606060601e-05,0.03897992894053459,0.02092665433883667,0.03235557675361633,0.0,12694805.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
12,12,openb-pod-6940,0,1,scheduled,0.928590202704072,1.0,-0.0,-0.071409797295928,0.0,0.0,0.0,0.0,5.918560606060601e-05,0.07111742347478867,0.039346594363451004,0.03235557675361633,0.0,12694892.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
13,13,openb-pod-6941,17,1,scheduled,0.7112064738986659,1.0,-0.24570024570025328,-0.04309328040108085,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,6.878327190827215e-05,0.028984295204281807,0.013841372914612293,0.04336089268326759,0.0,12695124.0,8280.0,8280.0,2130.0,0.0023772321428571427,0.9976227678571429,0.009241071428571428,0.9907589285714286
14,14,openb-pod-6942,17,1,scheduled,0.9631226970814168,1.0,-0.0,-0.036877302918583155,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.02609357237815857,0.013214443810284138,0.0344465896487236,0.0,12695496.0,9280.0,9280.0,1810.0,0.0020200892857142856,0.9979799107142857,0.010357142857142856,0.9896428571428572
15,15,openb-pod-6943,0,1,scheduled,0.9625221434980631,1.0,-0.0,-0.03747785650193691,0.0,0.0,0.0,0.0,5.918560606060601e-05,0.0353366956114769,0.019699420779943466,0.01991959661245346,0.0,12695902.0,10280.0,10280.0,1810.0,0.0020200892857142856,0.9979799107142857,0.011473214285714286,0.9885267857142858
16,16,openb-pod-6944,17,1,scheduled,0.954245800152421,1.0,-0.0,-0.045754199847579,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.03904402256011963,0.02153947949409485,0.030924897640943527,0.0,12696072.0,10280.0,10280.0,2810.0,0.003136160714285714,0.9968638392857143,0.011473214285714286,0.9885267857142858
17,17,openb-pod-6945,0,1,scheduled,0.9291263539344072,1.0,-0.0,-0.07087364606559277,0.0,0.0,0.0,0.0,5.918560606060601e-05,0.07115203887224197,0.03967035561800003,0.030924897640943527,0.0,12696455.0,11280.0,11280.0,2810.0,0.003136160714285714,0.9968638392857143,0.012589285714285714,0.9874107142857143
18,18,openb-pod-6946,17,1,scheduled,0.9241946935653687,1.0,-0.0,-0.07580530643463135,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.07194636762142181,0.03982505202293396,0.03983919322490692,0.0,12696716.0,11280.0,11280.0,3620.0,0.004040178571428571,0.9959598214285714,0.012589285714285714,0.9874107142857143
19,19,openb-pod-6947,1,1,scheduled,0.9183277022093534,1.0,-0.0,-0.08167229779064655,0.0,0.0,0.0,0.0,5.918560606060601e-05,0.07943602651357651,0.04406937584280968,0.03983919322490692,0.0,12696859.0,12090.0,12090.0,2620.0,0.002924107142857143,0.9970758928571428,0.013493303571428571,0.9865066964285715
20,20,openb-pod-6948,1,1,scheduled,0.9096598671749234,1.0,-0.0,-0.09034013282507658,0.0,0.0,0.0,0.0,5.918560606060601e-05,0.09741980582475662,0.05442656949162483,0.028833890333771706,0.0,12696934.0,12090.0,12090.0,2620.0,0.002924107142857143,0.9970758928571428,0.013493303571428571,0.9865066964285715
21,21,openb-pod-6949,17,1,scheduled,0.9058688338845968,1.0,-0.0,-0.09413116611540318,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.09915990382432938,0.05509605258703232,0.034006375819444656,0.0,12696992.0,12090.0,12090.0,3090.0,0.0034486607142857144,0.9965513392857143,0.013493303571428571,0.9865066964285715
22,22,openb-pod-6950,17,1,scheduled,0.9012607652693987,1.0,-0.0,-0.09873923473060131,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.10204555839300156,0.05625404417514801,0.039178866893053055,0.0,12696995.0,12560.0,12560.0,2750.0,0.0030691964285714285,0.9969308035714286,0.014017857142857143,0.9859821428571428
23,23,openb-pod-6951,17,1,scheduled,0.921658368781209,1.0,-0.0,-0.07834163121879101,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.0761089101433754,0.041395485401153564,0.039178866893053055,0.0,12697224.0,13030.0,13030.0,3560.0,0.003973214285714286,0.9960267857142857,0.014542410714285714,0.9854575892857143
