step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,16,1,scheduled,-0.5197955661128741,1.0,-1.5151515151515138,-0.004644050961360335,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0021680444478988647,0.0006269295699894428,0.006493127904832363,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,16,1,scheduled,-0.5210061494867784,1.0,-1.5151515151515138,-0.0058546343352645636,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0021680444478988647,0.0006269295699894428,0.00891429465264082,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,16,1,scheduled,-0.5237790733949748,1.0,-1.5151515151515138,-0.008627558243460953,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002751325024291873,0.0034984913654625416,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,16,1,scheduled,0.9792322209104896,1.0,-0.0,-0.02076777908951044,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.010523817501962185,0.009001140482723713,0.022010600194334984,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,16,1,scheduled,0.9698318587616086,1.0,-0.0,-0.0301681412383914,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.014650803059339523,0.012669576331973076,0.0330159030854702,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,16,1,scheduled,0.9542841259390116,1.0,-0.0,-0.045715874060988426,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.027518749237060547,0.019891798496246338,0.04402120038866997,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,16,1,scheduled,0.983553854515776,1.0,-0.0,-0.016446145484223962,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.009629637934267521,0.007084864657372236,0.016177788376808167,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,16,1,scheduled,0.9812813620083034,1.0,-0.0,-0.018718637991696596,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.01231768075376749,0.008941806852817535,0.016177788376808167,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,16,1,scheduled,0.9847450042143464,1.0,-0.0,-0.015254995785653591,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.006295031867921352,0.004295363090932369,0.01991959661245346,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,16,1,scheduled,0.9788903698790818,1.0,-0.0,-0.021109630120918155,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.008463078178465366,0.0049222917295992374,0.028833890333771706,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
