step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,119,1,scheduled,-0.5204703713093419,1.0,-1.5151515151515138,-0.005318856157828122,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002890725852921605,0.0012538590235635638,0.006493127439171076,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,80,1,scheduled,-0.5216809543340002,1.0,-1.5151515151515138,-0.006529439182486385,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.008914293721318245,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,97,1,scheduled,-0.5259868732096162,1.0,-1.5151515151515138,-0.010835358058102429,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.00366843375377357,0.006996982265263796,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,75,1,scheduled,-0.534883172731055,1.0,-1.5151515151515138,-0.019731657579541206,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.010966185480356216,0.012994680553674698,0.015502449125051498,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,75,1,scheduled,0.9698163811117411,1.0,-0.0,-0.030183618888258934,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,0.016256386414170265,0.01957988180220127,0.024530969560146332,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,101,1,scheduled,-0.5524096093281639,1.0,-1.5151515151515138,-0.03725809417665005,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.023523684591054916,0.024212602525949478,0.0267799012362957,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,95,1,scheduled,-0.5307745509922039,1.0,-1.5151515151515138,-0.015623035840690136,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.00913635641336441,0.009986396878957748,0.012123318389058113,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,106,1,scheduled,-0.5306296851627064,1.0,-1.5151515151515138,-0.01547817001119256,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.009831422008574009,0.009001599624752998,0.012123318389058113,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,79,1,scheduled,-0.5290200566082728,1.0,-1.5151515151515138,-0.013868541456758976,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.006195559166371822,0.007433499209582806,0.014108024537563324,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,73,1,scheduled,-0.5306216927852017,1.0,-1.5151515151515138,-0.015470177633687854,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.006808755453675985,0.007527247071266174,0.016604352742433548,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
10,10,openb-pod-6938,63,1,scheduled,-0.5336437109067571,1.0,-1.5151515151515138,-0.0184921957552433,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.00994409341365099,0.010113758035004139,0.016926540061831474,0.0,12694527.0,7960.0,7960.0,2940.0,0.00328125,0.99671875,0.008883928571428572,0.9911160714285714
11,11,openb-pod-6939,99,1,scheduled,0.975883926730603,1.0,-0.0,-0.02411607326939702,0.0,0.0,0.0,0.0,0.00023674242424242403,0.015064635314047337,0.01624097116291523,0.016926540061831474,0.0,12694805.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
