step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-7148,119,1,scheduled,-0.6006489447459114,1.0,-1.5151515151515138,-0.08549742959439754,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0552099272608757,0.07176373153924942,0.04402120038866997,0.0,12744585.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-7150,80,1,scheduled,-0.6006489372953308,1.0,-1.5151515151515138,-0.08549742214381695,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.055209919810295105,0.07176372408866882,0.04402120038866997,0.0,12746031.0,4000.0,4000.0,0.0,0.0,1.0,0.004464285714285714,0.9955357142857143
2,2,openb-pod-7154,97,1,scheduled,-0.5667159329309595,1.0,-1.5151515151515138,-0.05156441777944565,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.02953089214861393,0.0295767430216074,0.04402120038866997,0.0,12747923.0,8000.0,8000.0,0.0,0.0,1.0,0.008928571428571428,0.9910714285714286
3,3,openb-pod-7155,75,1,scheduled,-0.5667159329309595,1.0,-1.5151515151515138,-0.05156441777944565,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.02953089401125908,0.02957674115896225,0.04402120038866997,0.0,12750317.0,12000.0,12000.0,0.0,0.0,1.0,0.013392857142857142,0.9866071428571429
4,4,openb-pod-7158,75,1,scheduled,-0.5667159329309595,1.0,-1.5151515151515138,-0.05156441777944565,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.02953089401125908,0.02957674115896225,0.04402120038866997,0.0,12753278.0,16000.0,16000.0,0.0,0.0,1.0,0.017857142857142856,0.9821428571428571
5,5,openb-pod-7160,101,1,scheduled,-0.5665095853760374,1.0,-1.5151515151515138,-0.051358070224523544,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.02934747003018856,0.02934747003018856,0.04402120038866997,0.0,12754163.0,20000.0,20000.0,0.0,0.0,1.0,0.022321428571428572,0.9776785714285714
6,6,openb-pod-7161,95,1,scheduled,-0.5665095835133922,1.0,-1.5151515151515138,-0.051358068361878395,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.02934746816754341,0.02934746816754341,0.04402120038866997,0.0,12754705.0,24000.0,24000.0,4000.0,0.004464285714285714,0.9955357142857143,0.026785714285714284,0.9732142857142857
7,7,openb-pod-7171,107,1,scheduled,-0.5945262569143903,1.0,-1.5151515151515138,-0.07937474176287651,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.05056395009160042,0.04617573693394661,0.062009796500205994,0.0,12758421.0,28000.0,28000.0,0.0,0.0,1.0,0.03125,0.96875
8,8,openb-pod-7552,79,1,scheduled,-199.12105830013752,1.0,-200.0,-0.12105830013751984,0.0,0.0,1.0,1.0,0.0078125,0.08070553094148636,0.07336866855621338,0.08804240077733994,0.0,12809677.0,32000.0,32000.0,0.0,0.0,1.0,0.03571428571428571,0.9642857142857143
9,9,openb-pod-8046,73,1,scheduled,-199.12105830013752,1.0,-200.0,-0.12105830013751984,0.0,0.0,1.0,1.0,0.0078125,0.08070553094148636,0.07336866855621338,0.08804240077733994,0.0,12867468.0,40000.0,40000.0,8000.0,0.008928571428571428,0.9910714285714286,0.044642857142857144,0.9553571428571429
