step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_utilization,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,cluster_full_free_gpu_count,cluster_full_free_gpu_ratio,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928__rep0,1,1,scheduled,-0.5222022837692872,1.0,-1.5151515151515138,-0.0070507686177734286,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,511.0,0.998046875,0.004071976989507675,0.0008831148152239621,0.00914644543081522,0.0,12692206.0,0.0,0.0,590.0,0.00115234375,0.99884765625,0.0,1.0
1,1,openb-pod-6929__rep0,1,1,scheduled,0.9841931943665259,1.0,-0.0,-0.01580680563347414,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,510.0,0.99609375,0.00814395397901535,0.0017662296304479241,0.021703427657485008,0.0,12692300.0,590.0,590.0,1400.0,0.002734375,0.997265625,0.00115234375,0.99884765625
2,2,openb-pod-6930__rep0,1,1,scheduled,0.971394180553034,1.0,-0.0,-0.028605819446966052,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,509.0,0.994140625,0.013311435468494892,0.006694324780255556,0.037205878645181656,0.0,12692613.0,1400.0,1400.0,2400.0,0.0046875,0.9953125,0.002734375,0.997265625
3,3,openb-pod-6931__rep0,1,1,scheduled,0.9524682736955583,1.0,-0.0,-0.04753172630444169,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,508.0,0.9921875,0.027909576892852783,0.014445551671087742,0.052708324044942856,0.0,12692705.0,2400.0,2400.0,3400.0,0.006640625,0.993359375,0.0046875,0.9953125
4,4,openb-pod-6932__rep0,1,1,scheduled,0.6925574522694218,1.0,-0.24570024570025328,-0.061742302030324936,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.0001375665438165443,507.0,0.990234375,0.035660792142152786,0.019613031297922134,0.06821078062057495,0.0,12692800.0,3400.0,3400.0,4400.0,0.00859375,0.99140625,0.006640625,0.993359375
5,5,openb-pod-6933__rep0,1,1,scheduled,0.9133355747908354,1.0,-0.0,-0.08666442520916462,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.0001375665438165443,506.0,0.98828125,0.059829119592905045,0.02978651225566864,0.08371321856975555,0.0,12693008.0,4400.0,4400.0,5400.0,0.010546875,0.989453125,0.00859375,0.99140625
6,6,openb-pod-6934__rep0,1,1,scheduled,0.49261835531730735,1.0,-0.40950040950040734,-0.09788123518228531,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.00016955876330876363,505.0,0.986328125,0.07016408443450928,0.03459901362657547,0.09099937230348587,0.0,12693782.0,5400.0,5400.0,5870.0,0.01146484375,0.98853515625,0.010546875,0.989453125
7,7,openb-pod-6935__rep0,1,1,scheduled,0.8870697449892759,1.0,-0.0,-0.11293025501072407,0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.00016955876330876363,505.0,0.986328125,0.08554768562316895,0.04202727600932121,0.09828554838895798,0.0,12693978.0,5870.0,5870.0,6340.0,0.0123828125,0.9876171875,0.01146484375,0.98853515625
8,8,openb-pod-6936__rep0,1,1,scheduled,-174.2240613895994,1.0,-175.1023751023751,-0.12168628722429276,0.0,0.0,0.010851760851760872,0.8863636363636364,0.8755118755118755,0.013849431818181818,504.0,0.984375,0.08961966633796692,0.042910389602184296,0.1108425185084343,0.0,12694520.0,6340.0,6340.0,7150.0,0.01396484375,0.98603515625,0.0123828125,0.9876171875
9,9,openb-pod-6937__rep0,2,1,scheduled,-0.6371046542331111,1.0,-1.5151515151515138,-0.12195313908159733,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.01396780303030303,503.0,0.982421875,0.08964753150939941,0.04290546104311943,0.11135328561067581,0.0,12694521.0,7150.0,7150.0,7960.0,0.015546875,0.984453125,0.01396484375,0.98603515625
