step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_utilization,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,cluster_full_free_gpu_count,cluster_full_free_gpu_ratio,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928__rep0,0,1,scheduled,-0.5216932862963528,1.0,-1.5151515151515138,-0.006541771144839004,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,511.0,0.998046875,0.0030539820436388254,0.0008831148152239621,0.00914644543081522,0.0,12692206.0,0.0,0.0,590.0,0.00115234375,0.99884765625,0.0,1.0
1,1,openb-pod-6929__rep0,0,1,scheduled,0.9852111893123947,1.0,-0.0,-0.014788810687605292,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,510.0,0.99609375,0.006107964087277651,0.0017662296304479241,0.021703427657485008,0.0,12692300.0,590.0,590.0,1400.0,0.002734375,0.997265625,0.00115234375,0.99884765625
2,2,openb-pod-6930__rep0,0,1,scheduled,0.9730581094045192,1.0,-0.0,-0.0269418905954808,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,509.0,0.994140625,0.009983577765524387,0.006694324780255556,0.037205878645181656,0.0,12692613.0,1400.0,1400.0,2400.0,0.0046875,0.9953125,0.002734375,0.997265625
3,3,openb-pod-6931__rep0,0,1,scheduled,0.9559569708071649,1.0,-0.0,-0.04404302919283509,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,508.0,0.9921875,0.020932182669639587,0.014445551671087742,0.052708324044942856,0.0,12692705.0,2400.0,2400.0,3400.0,0.006640625,0.993359375,0.0046875,0.9953125
4,4,openb-pod-6932__rep0,0,1,scheduled,0.6970150480275619,1.0,-0.24570024570025328,-0.05728470627218485,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.0001375665438165443,507.0,0.990234375,0.026745600625872612,0.019613031297922134,0.06821078062057495,0.0,12692800.0,3400.0,3400.0,4400.0,0.00859375,0.99140625,0.006640625,0.993359375
5,5,openb-pod-6933__rep0,0,1,scheduled,0.9208142124116421,1.0,-0.0,-0.07918578758835793,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.0001375665438165443,506.0,0.98828125,0.044871844351291656,0.02978651225566864,0.08371321856975555,0.0,12693008.0,4400.0,4400.0,5400.0,0.010546875,0.989453125,0.00859375,0.99140625
6,6,openb-pod-6934__rep0,0,1,scheduled,0.5013888640089759,1.0,-0.40950040950040734,-0.0891107264906168,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.00016955876330876363,505.0,0.986328125,0.052623067051172256,0.03459901362657547,0.09099937230348587,0.0,12693782.0,5400.0,5400.0,5870.0,0.01146484375,0.98853515625,0.010546875,0.989453125
7,7,openb-pod-6935__rep0,0,1,scheduled,0.897763205692172,1.0,-0.0,-0.10223679430782795,0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.00016955876330876363,505.0,0.986328125,0.06416076421737671,0.04202727600932121,0.09828554838895798,0.0,12693978.0,5870.0,5870.0,6340.0,0.0123828125,0.9876171875,0.01146484375,0.98853515625
8,8,openb-pod-6936__rep0,12,1,scheduled,-0.6176985218330753,1.0,-1.5151515151515138,-0.10254700668156147,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00028792997542997564,504.0,0.984375,0.06418495625257492,0.04202253744006157,0.09888651967048645,0.0,12694520.0,6340.0,6340.0,7150.0,0.01396484375,0.98603515625,0.0123828125,0.9876171875
9,9,openb-pod-6937__rep0,12,1,scheduled,0.8962764926254749,1.0,-0.0,-0.10372350737452507,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00028792997542997564,503.0,0.982421875,0.06435425579547882,0.042036354541778564,0.10105640441179276,0.0,12694521.0,7150.0,7150.0,7960.0,0.015546875,0.984453125,0.01396484375,0.98603515625
10,10,openb-pod-6938__rep0,12,1,scheduled,0.8949063196778297,1.0,-0.0,-0.10509368032217026,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00028792997542997564,502.0,0.98046875,0.06542515754699707,0.04243576526641846,0.10232643783092499,0.0,12694527.0,7960.0,7960.0,8280.0,0.016171875,0.983828125,0.015546875,0.984453125
11,11,openb-pod-6941__rep0,12,1,scheduled,0.8898552600294352,1.0,-0.0,-0.11014473997056484,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00028792997542997564,501.0,0.978515625,0.06842149049043655,0.04418734088540077,0.10768064856529236,0.0,12695124.0,8280.0,8280.0,9280.0,0.018125,0.981875,0.016171875,0.983828125
12,12,openb-pod-6942__rep0,12,1,scheduled,0.636794874467479,1.0,-0.24570024570025328,-0.11750487983226776,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.00030712530712530793,500.0,0.9765625,0.07295403629541397,0.04716365039348602,0.11489207297563553,0.0,12695496.0,9280.0,9280.0,10280.0,0.020078125,0.979921875,0.018125,0.981875
13,13,openb-pod-6944__rep0,12,1,scheduled,0.8732271920889616,1.0,-0.0,-0.1267728079110384,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.00030712530712530793,499.0,0.974609375,0.07875803858041763,0.05115136131644249,0.12363621592521667,0.0,12696072.0,10280.0,10280.0,11280.0,0.02203125,0.97796875,0.020078125,0.979921875
14,14,openb-pod-6946__rep0,12,1,scheduled,0.4585682241006621,1.0,-0.40950040950040734,-0.13193136639893055,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.00033911752661752725,498.0,0.97265625,0.08056803047657013,0.05165999010205269,0.13163471221923828,0.0,12696716.0,11280.0,11280.0,12090.0,0.02361328125,0.97638671875,0.02203125,0.97796875
15,15,openb-pod-6949__rep0,12,1,scheduled,0.8595374561846256,1.0,-0.0,-0.14046254381537437,0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.00033911752661752725,498.0,0.97265625,0.08802860230207443,0.056305840611457825,0.1365906447172165,0.0,12696992.0,12090.0,12090.0,12560.0,0.02453125,0.97546875,0.02361328125,0.97638671875
16,16,openb-pod-6950__rep0,23,1,scheduled,-0.6560362535669935,1.0,-1.5151515151515138,-0.14088473841547966,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00045748873873873927,497.0,0.970703125,0.08852232247591019,0.05662703514099121,0.13662011921405792,0.0,12696995.0,12560.0,12560.0,13030.0,0.02544921875,0.97455078125,0.02453125,0.97546875
17,17,openb-pod-6951__rep0,23,1,scheduled,0.8583936020731926,1.0,-0.0,-0.1416063979268074,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00045748873873873927,496.0,0.96875,0.0889035165309906,0.056729838252067566,0.13757944107055664,0.0,12697224.0,13030.0,13030.0,13840.0,0.02703125,0.97296875,0.02544921875,0.97455078125
18,18,openb-pod-6952__rep0,23,1,scheduled,0.855191208422184,1.0,-0.0,-0.144808791577816,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00045748873873873927,495.0,0.966796875,0.0911022424697876,0.05820201337337494,0.14031332731246948,0.0,12697262.0,13840.0,13840.0,14840.0,0.028984375,0.971015625,0.02703125,0.97296875
19,19,openb-pod-6953__rep0,23,1,scheduled,0.8534672521054745,1.0,-0.0,-0.14653274789452553,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00045748873873873927,494.0,0.96484375,0.09193901717662811,0.058432675898075104,0.14269380271434784,0.0,12697388.0,14840.0,14840.0,15430.0,0.03013671875,0.96986328125,0.028984375,0.971015625
20,20,openb-pod-6954__rep0,23,1,scheduled,0.6051126923640835,1.0,-0.24570024570025328,-0.14918706193566322,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.00047668407043407156,493.0,0.962890625,0.09286871552467346,0.05867571383714676,0.14682969450950623,0.0,12697409.0,15430.0,15430.0,16240.0,0.03171875,0.96828125,0.03013671875,0.96986328125
21,21,openb-pod-6955__rep0,23,1,scheduled,0.8476432766765356,1.0,-0.0,-0.1523567233234644,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.00047668407043407156,492.0,0.9609375,0.09388859570026398,0.058930981904268265,0.15189386904239655,0.0,12697409.0,16240.0,16240.0,17050.0,0.03330078125,0.96669921875,0.03171875,0.96828125
22,22,openb-pod-6956__rep0,23,1,scheduled,0.43089717382032955,1.0,-0.40950040950040734,-0.15960241667926311,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.0005086762899262909,491.0,0.958984375,0.09824061393737793,0.06167086586356163,0.15929335355758667,0.0,12697628.0,17050.0,17050.0,18050.0,0.03525390625,0.96474609375,0.03330078125,0.96669921875
23,23,openb-pod-6957__rep0,24,1,scheduled,-0.675775616909517,1.0,-1.5151515151515138,-0.16062410175800323,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0006270475020475029,490.0,0.95703125,0.09940480440855026,0.0622282549738884,0.1596151441335678,0.0,12697699.0,18050.0,18050.0,19050.0,0.03720703125,0.96279296875,0.03525390625,0.96474609375
24,24,openb-pod-6958__rep0,24,1,scheduled,0.8378765098750591,1.0,-0.0,-0.16212349012494087,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.0006270475020475029,489.0,0.955078125,0.10089743882417679,0.06306460499763489,0.16028493642807007,0.0,12697711.0,19050.0,19050.0,19520.0,0.038125,0.961875,0.03720703125,0.96279296875
25,25,openb-pod-6959__rep0,24,1,scheduled,0.8364493511617184,1.0,-0.0,-0.16355064883828163,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.0006270475020475029,488.0,0.953125,0.10164197534322739,0.0632566511631012,0.16220267117023468,0.0,12698004.0,19520.0,19520.0,20330.0,0.03970703125,0.96029296875,0.038125,0.961875
26,26,openb-pod-6960__rep0,24,1,scheduled,0.8328595384955406,1.0,-0.0,-0.16714046150445938,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.0006270475020475029,488.0,0.953125,0.10520998388528824,0.06532377749681473,0.1637471616268158,0.0,12698115.0,20330.0,20330.0,20800.0,0.040625,0.959375,0.03970703125,0.96029296875
27,27,openb-pod-6961__rep0,24,1,scheduled,0.8271073214709759,1.0,-0.0,-0.17289267852902412,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.0006270475020475029,487.0,0.951171875,0.10987566411495209,0.0678694024682045,0.16804029047489166,0.0,12698247.0,20800.0,20800.0,21800.0,0.042578125,0.957421875,0.040625,0.959375
