step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_utilization,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,cluster_full_free_gpu_count,cluster_full_free_gpu_ratio,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928__rep0,9,1,scheduled,-0.5226438641548157,1.0,-1.5151515151515138,-0.00749232602538541,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,511.0,0.998046875,0.004071976989507675,0.0017662296304479241,0.00914644543081522,0.0,12692206.0,0.0,0.0,590.0,0.00115234375,0.99884765625,0.0,1.0
1,1,openb-pod-6929__rep0,11,1,scheduled,-0.5269554257392883,1.0,-1.5151515151515138,-0.011803925037384033,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,510.0,0.99609375,0.00571275781840086,0.0024779224768280983,0.015417169779539108,0.0,12692300.0,590.0,590.0,1400.0,0.002734375,0.997265625,0.00115234375,0.99884765625
2,2,openb-pod-6930__rep0,11,1,scheduled,0.9744300246238708,1.0,-0.0,-0.025569958612322807,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00023674242424242403,509.0,0.994140625,0.010037641040980816,0.011728108860552311,0.029374167323112488,0.0,12692613.0,1400.0,1400.0,2400.0,0.0046875,0.9953125,0.002734375,0.997265625
3,3,openb-pod-6931__rep0,11,1,scheduled,0.9521785974502563,1.0,-0.0,-0.04782142676413059,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00023674242424242403,508.0,0.9921875,0.024119094014167786,0.02715432643890381,0.04436943307518959,0.0,12692705.0,2400.0,2400.0,3400.0,0.006640625,0.993359375,0.0046875,0.9953125
4,4,openb-pod-6932__rep0,11,1,scheduled,0.9355579614639282,1.0,-0.0,-0.06444206647574902,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00023674242424242403,507.0,0.990234375,0.03178601711988449,0.03747343644499779,0.05962467938661575,0.0,12692800.0,3400.0,3400.0,4400.0,0.00859375,0.99140625,0.006640625,0.993359375
5,5,openb-pod-6933__rep0,11,1,scheduled,0.6599856019020081,1.0,-0.24570024570025328,-0.09431413188576698,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.0002559377559377563,506.0,0.98828125,0.05584113299846649,0.05780573934316635,0.07498139142990112,0.0,12693008.0,4400.0,4400.0,5400.0,0.010546875,0.989453125,0.00859375,0.99140625
6,6,openb-pod-6934__rep0,11,1,scheduled,0.8921011090278625,1.0,-0.0,-0.10789886489510536,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.0002559377559377563,505.0,0.986328125,0.06615287810564041,0.067426897585392,0.08221795409917831,0.0,12693782.0,5400.0,5400.0,5870.0,0.01146484375,0.98853515625,0.010546875,0.989453125
7,7,openb-pod-6935__rep0,11,1,scheduled,0.8733726739883423,1.0,-0.0,-0.12662731111049652,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.0002559377559377563,505.0,0.986328125,0.08151281625032425,0.08227923512458801,0.08946257084608078,0.0,12693978.0,5870.0,5870.0,6340.0,0.0123828125,0.9876171875,0.01146484375,0.98853515625
8,8,openb-pod-6936__rep0,11,1,scheduled,0.4547061622142792,1.0,-0.40950040950040734,-0.13579344004392624,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.00028792997542997564,504.0,0.984375,0.08557995408773422,0.08404507488012314,0.10196185111999512,0.0,12694520.0,6340.0,6340.0,7150.0,0.01396484375,0.98603515625,0.0123828125,0.9876171875
9,9,openb-pod-6937__rep0,11,1,scheduled,-193.41195678710938,1.0,-194.26699426699426,-0.14496610686182976,0.0,0.0,0.010851760851760872,0.9821867321867321,0.9713349713349713,0.015465038902538902,503.0,0.982421875,0.08964753150939941,0.08581092208623886,0.11447376012802124,0.0,12694521.0,7150.0,7150.0,7960.0,0.015546875,0.984453125,0.01396484375,0.98603515625
