step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,72,1,scheduled,-0.5204703711929266,1.0,-1.5151515151515138,-0.0053188560414128006,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.006493127439171076,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,89,1,scheduled,-0.5216809543340002,1.0,-1.5151515151515138,-0.006529439182486385,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.008914293721318245,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,60,1,scheduled,-0.5259868730932009,1.0,-1.5151515151515138,-0.010835357941687107,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0036684335209429264,0.006996982265263796,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,20,1,scheduled,-0.534883172731055,1.0,-1.5151515151515138,-0.019731657579541206,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.010966185480356216,0.012994680553674698,0.015502449125051498,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,80,1,scheduled,-0.5381433721772861,1.0,-1.5151515151515138,-0.022991857025772333,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.01221967302262783,0.01485299039632082,0.018911050632596016,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,18,1,scheduled,-0.5447093895777595,1.0,-1.5151515151515138,-0.02955787442624569,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.020938342437148094,0.016428327187895775,0.02174907922744751,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,46,1,scheduled,-0.5307745509922039,1.0,-1.5151515151515138,-0.015623035840690136,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.00913635641336441,0.009986396878957748,0.012123318389058113,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,109,1,scheduled,-0.5337083381741774,1.0,-1.5151515151515138,-0.018556823022663593,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.012190137058496475,0.012800190597772598,0.012123318389058113,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,68,1,scheduled,-0.5290200566082728,1.0,-1.5151515151515138,-0.013868541456758976,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.006195559166371822,0.007433499209582806,0.014108024537563324,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,81,1,scheduled,-0.5306216927852017,1.0,-1.5151515151515138,-0.015470177633687854,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.006808755453675985,0.007527247071266174,0.016604352742433548,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
10,10,openb-pod-6938,124,1,scheduled,-0.5336437109067571,1.0,-1.5151515151515138,-0.0184921957552433,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.00994409341365099,0.010113758035004139,0.016926540061831474,0.0,12694527.0,7960.0,7960.0,2940.0,0.00328125,0.99671875,0.008883928571428572,0.9911160714285714
11,11,openb-pod-6939,28,1,scheduled,0.9790577054955065,1.0,-0.0,-0.020942294504493475,0.0,0.0,0.0,0.0,0.00023674242424242403,0.013049423694610596,0.01190862525254488,0.016926540061831474,0.0,12694805.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
12,12,openb-pod-6940,108,1,scheduled,0.9742338322103024,1.0,-0.0,-0.025766167789697647,0.0,0.0,0.0,0.0,0.00023674242424242403,0.017227694392204285,0.017378101125359535,0.016926540061831474,0.0,12694892.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
13,13,openb-pod-6941,100,1,scheduled,-0.5397297484009993,1.0,-1.5151515151515138,-0.024578233249485493,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00029592803030303004,0.014256385155022144,0.014849725179374218,0.020050356164574623,0.0,12695124.0,8280.0,8280.0,2130.0,0.0023772321428571427,0.9976227678571429,0.009241071428571428,0.9907589285714286
14,14,openb-pod-6942,58,1,scheduled,-0.5386069649971557,1.0,-1.5151515151515138,-0.02345544984564185,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.014002718031406403,0.014814318157732487,0.018093863502144814,0.0,12695496.0,9280.0,9280.0,1810.0,0.0020200892857142856,0.9979799107142857,0.010357142857142856,0.9896428571428572
15,15,openb-pod-6943,33,1,scheduled,0.9790709372609854,1.0,-0.0,-0.020929062739014626,0.0,0.0,0.0,0.0,0.00011837121212121202,0.012972650118172169,0.014777450822293758,0.014108024537563324,0.0,12695902.0,10280.0,10280.0,1810.0,0.0020200892857142856,0.9979799107142857,0.011473214285714286,0.9885267857142858
