step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,81,1,scheduled,-0.520470380783081,1.0,-1.5151515151515138,-0.0053188560414128006,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.006493127439171076,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,81,1,scheduled,-0.5216809511184692,1.0,-1.5151515151515138,-0.006529439182486385,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.008914293721318245,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,16,1,scheduled,-0.5237790942192078,1.0,-1.5151515151515138,-0.008627558243460953,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002751325024291873,0.0034984913654625416,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,81,1,scheduled,-0.5340142846107483,1.0,-1.5151515151515138,-0.018862762488424778,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.010701367631554604,0.011521708220243454,0.015502449125051498,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,81,1,scheduled,0.9703709483146667,1.0,-0.0,-0.029629060998558998,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,0.01608140394091606,0.018645748496055603,0.024530969560146332,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,81,1,scheduled,0.9496095180511475,1.0,-0.0,-0.05039045587182045,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,0.03311605378985405,0.03294534981250763,0.03471950814127922,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,81,1,scheduled,0.9784064888954163,1.0,-0.0,-0.021593517623841763,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.012839516624808311,0.014169728383421898,0.016177790239453316,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,16,1,scheduled,-0.5306296944618225,1.0,-1.5151515151515138,-0.015478169545531273,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.009831421077251434,0.009001599624752998,0.012123318389058113,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,81,1,scheduled,0.9815481305122375,1.0,-0.0,-0.01845184899866581,0.0,0.007575757575757569,0.007575757575757569,0.0,5.918560606060601e-05,0.00839337706565857,0.008590726181864738,0.01991959474980831,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,49,1,scheduled,-0.5347948670387268,1.0,-1.5151515151515138,-0.01964337332174182,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.008855675347149372,0.008671971037983894,0.021759100258350372,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
