step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_utilization,reward_slo,reward_latency_objective,reward_latency_failure,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,cluster_full_free_gpu_count,cluster_full_free_gpu_ratio,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,job_completion_time_ms,job_slowdown,latency_objective,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,1,1,scheduled,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00037878787878787846,159.0,0.99375,0.0071558584459125996,0.00155193533282727,0.01607343927025795,0.0,600000.0,1.0,1.0,12692206.0,590.0,0.0,590.0,0.0036875,0.9963125,0.0,1.0
1,1,openb-pod-6929,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00037878787878787846,158.0,0.9875,0.014311716891825199,0.00310387066565454,0.03814036026597023,0.0,600000.0,1.0,1.0,12692300.0,1400.0,590.0,1400.0,0.00875,0.99125,0.0036875,0.9963125
2,2,openb-pod-6930,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00037878787878787846,157.0,0.98125,0.023392757400870323,0.0117642255499959,0.06538348644971848,0.0,600000.0,1.0,1.0,12692613.0,2400.0,1400.0,2400.0,0.015,0.985,0.00875,0.99125
3,3,openb-pod-6931,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00037878787878787846,156.0,0.975,0.04904669150710106,0.025385785847902298,0.09262660890817642,0.0,600000.0,1.0,1.0,12692705.0,3400.0,2400.0,3400.0,0.02125,0.97875,0.015,0.985
4,4,openb-pod-6932,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.0004402129402129418,155.0,0.96875,0.06266825646162033,0.03446682170033455,0.11986973881721497,0.0,600000.0,1.0,1.0,12692800.0,4400.0,3400.0,4400.0,0.0275,0.9725,0.02125,0.97875
5,5,openb-pod-6933,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.0004402129402129418,154.0,0.9625,0.10514026880264282,0.052345115691423416,0.14711284637451172,0.0,600000.0,1.0,1.0,12693008.0,5400.0,4400.0,5400.0,0.03375,0.96625,0.0275,0.9725
6,6,openb-pod-6934,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.0005425880425880436,153.0,0.95625,0.12330235540866852,0.06080233305692673,0.15991711616516113,0.0,600000.0,1.0,1.0,12693782.0,5870.0,5400.0,5870.0,0.0366875,0.9633125,0.03375,0.96625
7,7,openb-pod-6935,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.0005425880425880436,153.0,0.95625,0.1503366082906723,0.07385633140802383,0.17272140085697174,0.0,600000.0,1.0,1.0,12693978.0,6340.0,5870.0,6340.0,0.039625,0.960375,0.0366875,0.9633125
8,8,openb-pod-6936,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.8863636363636364,0.8755118755118755,0.04431818181818182,152.0,0.95,0.15749245882034302,0.07540826499462128,0.19478832185268402,0.0,600000.0,1.0,1.0,12694520.0,7150.0,6340.0,7150.0,0.0446875,0.9553125,0.039625,0.960375
9,9,openb-pod-6937,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.04469696969696969,151.0,0.94375,0.15727826952934265,0.07534253597259521,0.1948768049478531,0.0,600000.0,1.0,1.0,12694521.0,7960.0,7150.0,7960.0,0.04975,0.95025,0.0446875,0.9553125
10,10,openb-pod-6938,1,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.8863636363636364,0.9821867321867321,0.09582309582309578,0.04948812448812449,151.0,0.94375,0.1754235327243805,0.0837981328368187,0.20354105532169342,0.0,600000.0,1.0,1.0,12694527.0,8280.0,7960.0,8280.0,0.05175,0.94825,0.04975,0.95025
11,11,openb-pod-6941,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.04948812448812449,150.0,0.9375,0.17698685824871063,0.08443757891654968,0.20685721933841705,0.0,600000.0,1.0,1.0,12695124.0,9280.0,8280.0,9280.0,0.058,0.942,0.05175,0.94825
12,12,openb-pod-6942,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.04948812448812449,149.0,0.93125,0.18218544125556946,0.08722598850727081,0.2136240005493164,0.0,600000.0,1.0,1.0,12695496.0,10280.0,9280.0,10280.0,0.06425,0.93575,0.058,0.942
13,13,openb-pod-6944,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.04948812448812449,148.0,0.925,0.19072222709655762,0.0919681265950203,0.22352831065654755,0.0,600000.0,1.0,1.0,12696072.0,11280.0,10280.0,11280.0,0.0705,0.9295,0.06425,0.93575
14,14,openb-pod-6946,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.04954954954954955,147.0,0.91875,0.19364331662654877,0.09262020140886307,0.23358096182346344,0.0,600000.0,1.0,1.0,12696716.0,12090.0,11280.0,12090.0,0.0755625,0.9244375,0.0705,0.9295
15,15,openb-pod-6949,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.04954954954954955,146.0,0.9125,0.20655202865600586,0.09890195727348328,0.24015186727046967,0.0,600000.0,1.0,1.0,12696992.0,12560.0,12090.0,12560.0,0.0785,0.9215,0.0755625,0.9244375
16,16,openb-pod-6950,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.04954954954954955,146.0,0.9125,0.22201678156852722,0.10642137378454208,0.24721172451972961,0.0,600000.0,1.0,1.0,12696995.0,13030.0,12560.0,13030.0,0.0814375,0.9185625,0.0785,0.9215
17,17,openb-pod-6951,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.04965192465192465,145.0,0.90625,0.22647394239902496,0.10738587379455566,0.2604091167449951,0.0,600000.0,1.0,1.0,12697224.0,13840.0,13030.0,13840.0,0.0865,0.9135,0.0814375,0.9185625
18,18,openb-pod-6952,2,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.9821867321867321,0.9713349713349713,0.09821867321867321,144.0,0.9,0.24351297318935394,0.11639760434627533,0.27825701236724854,0.0,600000.0,1.0,1.0,12697262.0,14840.0,13840.0,14840.0,0.09275,0.90725,0.0865,0.9135
19,19,openb-pod-6953,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.09859746109746109,143.0,0.89375,0.24307049810886383,0.1162014752626419,0.2774910628795624,0.0,600000.0,1.0,1.0,12697388.0,15430.0,14840.0,15430.0,0.0964375,0.9035625,0.09275,0.90725
20,20,openb-pod-6954,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.09859746109746109,142.0,0.8875,0.24283821880817413,0.11608802527189255,0.27795422077178955,0.0,600000.0,1.0,1.0,12697409.0,17050.0,15430.0,16240.0,0.1015,0.8985,0.0964375,0.9035625
21,21,openb-pod-6955,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.09859746109746109,141.0,0.88125,0.24281662702560425,0.11605753004550934,0.2801600396633148,0.0,600000.0,1.0,1.0,12697409.0,17050.0,16240.0,17050.0,0.1065625,0.8934375,0.1015,0.8985
22,22,openb-pod-6956,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.09859746109746109,140.0,0.875,0.24446691572666168,0.11930599063634872,0.28522437810897827,0.0,600000.0,1.0,1.0,12697628.0,18050.0,17050.0,18050.0,0.1128125,0.8871875,0.1065625,0.8934375
23,23,openb-pod-6957,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.09865888615888616,139.0,0.86875,0.2529602348804474,0.13225002586841583,0.2927466630935669,0.0,600000.0,1.0,1.0,12697699.0,19050.0,18050.0,19050.0,0.1190625,0.8809375,0.1128125,0.8871875
24,24,openb-pod-6958,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.09865888615888616,138.0,0.8625,0.2586440145969391,0.14114275574684143,0.2970804274082184,0.0,600000.0,1.0,1.0,12697711.0,19520.0,19050.0,19520.0,0.122,0.878,0.1190625,0.8809375
25,25,openb-pod-6959,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.09876126126126125,137.0,0.85625,0.26119646430015564,0.1429319679737091,0.3056658208370209,0.0,600000.0,1.0,1.0,12698004.0,20330.0,19520.0,20330.0,0.1270625,0.8729375,0.122,0.878
26,26,openb-pod-6960,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.09876126126126125,137.0,0.85625,0.27232465147972107,0.1595853716135025,0.3112567663192749,0.0,600000.0,1.0,1.0,12698115.0,20800.0,20330.0,20800.0,0.13,0.87,0.1270625,0.8729375
27,27,openb-pod-6961,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.8863636363636364,0.8755118755118755,0.14253685503685504,136.0,0.85,0.2855767607688904,0.17679917812347412,0.324515700340271,0.0,600000.0,1.0,1.0,12698247.0,21800.0,20800.0,21800.0,0.13625,0.86375,0.13,0.87
28,28,openb-pod-6962,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.1429156429156429,135.0,0.84375,0.2849763035774231,0.17653849720954895,0.3231375813484192,0.0,600000.0,1.0,1.0,12698502.0,22610.0,21800.0,22610.0,0.1413125,0.8586875,0.13625,0.86375
29,29,openb-pod-6963,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.1429156429156429,134.0,0.8375,0.28429752588272095,0.17659039795398712,0.32351091504096985,0.0,600000.0,1.0,1.0,12698776.0,23610.0,22610.0,23610.0,0.1475625,0.8524375,0.1413125,0.8586875
30,30,openb-pod-6964,3,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.8863636363636364,0.9821867321867321,0.09582309582309578,0.1477067977067977,134.0,0.8375,0.29419928789138794,0.18954721093177795,0.3280625343322754,0.0,600000.0,1.0,1.0,12698907.0,23930.0,23610.0,23930.0,0.1495625,0.8504375,0.1475625,0.8524375
31,31,openb-pod-6965,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.1477067977067977,133.0,0.83125,0.29569241404533386,0.19334515929222107,0.33064451813697815,0.0,600000.0,1.0,1.0,12699423.0,24930.0,23930.0,24930.0,0.1558125,0.8441875,0.1495625,0.8504375
32,32,openb-pod-6969,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.1477067977067977,132.0,0.825,0.2993844449520111,0.20080068707466125,0.33542653918266296,0.0,600000.0,1.0,1.0,12699989.0,25930.0,24930.0,25930.0,0.1620625,0.8379375,0.1558125,0.8441875
33,33,openb-pod-6970,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.14776822276822277,131.0,0.81875,0.3007967174053192,0.20186607539653778,0.34085050225257874,0.0,600000.0,1.0,1.0,12700511.0,26740.0,25930.0,26740.0,0.167125,0.832875,0.1620625,0.8379375
34,34,openb-pod-6971,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.14776822276822277,130.0,0.8125,0.3076406419277191,0.20702755451202393,0.349357932806015,0.0,600000.0,1.0,1.0,12700534.0,27740.0,26740.0,27740.0,0.173375,0.8266249999999999,0.167125,0.832875
35,35,openb-pod-6972,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.14787059787059786,129.0,0.80625,0.3161028325557709,0.2195328027009964,0.35973215103149414,0.0,600000.0,1.0,1.0,12700571.0,28740.0,27740.0,28740.0,0.179625,0.820375,0.173375,0.8266249999999999
36,36,openb-pod-6973,4,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.010851760851760872,0.9821867321867321,0.9713349713349713,0.19643734643734642,128.0,0.8,0.326367050409317,0.2345491200685501,0.3718169033527374,0.0,600000.0,1.0,1.0,12700799.0,29740.0,28740.0,29740.0,0.185875,0.814125,0.179625,0.820375
37,37,openb-pod-6975,5,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.19681613431613432,127.0,0.79375,0.32425567507743835,0.23338551819324493,0.3696844279766083,0.0,600000.0,1.0,1.0,12700980.0,30740.0,29740.0,30740.0,0.192125,0.807875,0.185875,0.814125
38,38,openb-pod-6978,5,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.19681613431613432,126.0,0.7875,0.32452452182769775,0.23428648710250854,0.3694832921028137,0.0,600000.0,1.0,1.0,12701642.0,30960.0,30740.0,30960.0,0.1935,0.8065,0.192125,0.807875
39,39,openb-pod-6979,5,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.19681613431613432,126.0,0.7875,0.3249151110649109,0.2346109002828598,0.3694237470626831,0.0,600000.0,1.0,1.0,12701651.0,31550.0,30960.0,31550.0,0.1971875,0.8028125,0.1935,0.8065
40,40,openb-pod-6980,5,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.19681613431613432,125.0,0.78125,0.32660895586013794,0.2370859682559967,0.3698764443397522,0.0,600000.0,1.0,1.0,12701695.0,32020.0,31550.0,32020.0,0.200125,0.799875,0.1971875,0.8028125
41,41,openb-pod-6981,5,1,scheduled,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.19681613431613432,125.0,0.78125,0.32929736375808716,0.24072688817977905,0.37077105045318604,0.0,600000.0,1.0,1.0,12701775.0,32490.0,32020.0,32490.0,0.2030625,0.7969375,0.200125,0.799875
