node_id,sn,cpu_milli,memory_mib,gpu,model,is_gpu_node
0,openb-node-0000,32000,262144,0,CPU-only,0
1,openb-node-0001,32000,262144,0,CPU-only,0
2,openb-node-0002,32000,262144,0,CPU-only,0
3,openb-node-0003,32000,262144,0,CPU-only,0
4,openb-node-0004,32000,262144,0,CPU-only,0
5,openb-node-0005,32000,262144,0,CPU-only,0
6,openb-node-0006,32000,262144,0,CPU-only,0
7,openb-node-0007,32000,262144,0,CPU-only,0
8,openb-node-0008,32000,262144,0,CPU-only,0
9,openb-node-0009,32000,262144,0,CPU-only,0
10,openb-node-0010,32000,262144,0,CPU-only,0
11,openb-node-0011,32000,262144,0,CPU-only,0
12,openb-node-0012,32000,262144,0,CPU-only,0
13,openb-node-0013,32000,262144,0,CPU-only,0
14,openb-node-0014,32000,262144,0,CPU-only,0
15,openb-node-0015,32000,262144,0,CPU-only,0
16,openb-node-0016,32000,262144,0,CPU-only,0
17,openb-node-0017,32000,262144,0,CPU-only,0
18,openb-node-0018,32000,262144,0,CPU-only,0
19,openb-node-0019,32000,262144,0,CPU-only,0
20,openb-node-0020,32000,262144,0,CPU-only,0
21,openb-node-0021,32000,262144,0,CPU-only,0
22,openb-node-0022,32000,262144,0,CPU-only,0
23,openb-node-0023,32000,262144,0,CPU-only,0
24,openb-node-0024,32000,262144,0,CPU-only,0
25,openb-node-0025,32000,262144,0,CPU-only,0
26,openb-node-0026,32000,262144,0,CPU-only,0
27,openb-node-0027,32000,262144,0,CPU-only,0
28,openb-node-0028,32000,262144,0,CPU-only,0
29,openb-node-0029,32000,262144,0,CPU-only,0
30,openb-node-0030,32000,262144,0,CPU-only,0
31,openb-node-0031,32000,262144,0,CPU-only,0
32,openb-node-0032,32000,262144,0,CPU-only,0
33,openb-node-0033,32000,262144,0,CPU-only,0
34,openb-node-0034,32000,262144,0,CPU-only,0
35,openb-node-0035,32000,262144,0,CPU-only,0
36,openb-node-0036,32000,262144,0,CPU-only,0
37,openb-node-0037,32000,262144,0,CPU-only,0
38,openb-node-0038,32000,262144,0,CPU-only,0
39,openb-node-0039,32000,262144,0,CPU-only,0
40,openb-node-0040,32000,262144,0,CPU-only,0
41,openb-node-0041,32000,262144,0,CPU-only,0
42,openb-node-0042,32000,262144,0,CPU-only,0
43,openb-node-0043,32000,262144,0,CPU-only,0
44,openb-node-0044,32000,262144,0,CPU-only,0
45,openb-node-0045,32000,262144,0,CPU-only,0
46,openb-node-0046,32000,262144,0,CPU-only,0
47,openb-node-0047,32000,262144,0,CPU-only,0
48,openb-node-0048,32000,262144,0,CPU-only,0
49,openb-node-0049,32000,262144,0,CPU-only,0
50,openb-node-0050,32000,262144,0,CPU-only,0
51,openb-node-0051,32000,262144,0,CPU-only,0
52,openb-node-0052,32000,262144,0,CPU-only,0
53,openb-node-0053,32000,262144,0,CPU-only,0
54,openb-node-0054,32000,262144,0,CPU-only,0
55,openb-node-0055,32000,262144,0,CPU-only,0
56,openb-node-0056,32000,262144,0,CPU-only,0
57,openb-node-0057,32000,262144,0,CPU-only,0
58,openb-node-0058,32000,262144,0,CPU-only,0
59,openb-node-0059,32000,262144,0,CPU-only,0
60,openb-node-0060,32000,262144,0,CPU-only,0
61,openb-node-0061,32000,262144,0,CPU-only,0
62,openb-node-0062,32000,262144,0,CPU-only,0
