name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time,priority,source_row_index,pod_index
openb-pod-0000,12000,16384,1,1000,,LS,Running,0,12537496,0,0,0,0
openb-pod-0001,6000,12288,1,460,,LS,Running,427061,12902960,427061,0,1,1
openb-pod-0002,12000,24576,1,1000,,LS,Running,1558381,12902960,1558381,0,2,2
openb-pod-0003,6000,12288,1,460,,LS,Running,2690044,12902960,2690044,0,3,3
openb-pod-0004,12000,16384,1,1000,,LS,Running,2758084,12902960,2758084,0,4,4
openb-pod-0005,20000,65536,0,0,,LS,Running,2759674,12902960,2759676,0,5,5
openb-pod-0006,4000,16384,1,1000,,LS,Running,3019330,11815163,3019331,0,6,6
openb-pod-0007,12000,16384,1,1000,,LS,Running,3019932,12902960,3019932,0,7,7
openb-pod-0008,12000,16384,1,1000,,LS,Running,4130198,12902960,4130198,0,8,8
openb-pod-0009,12000,16384,1,1000,,LS,Running,4975773,12902960,4975773,0,9,9
openb-pod-0010,16000,49152,1,1000,,LS,Running,5182092,10004145,5182096,0,10,10
openb-pod-0011,6000,8192,1,460,,LS,Running,6394537,12902960,6394537,0,11,11
openb-pod-0012,8000,32768,1,1000,,LS,Running,6588193,10959245,6595531,0,12,12
openb-pod-0013,8000,16384,1,1000,,LS,Running,6976821,10650110,6976823,0,13,13
openb-pod-0014,16000,65536,1,1000,,LS,Running,8387257,11410890,8387291,0,14,14
openb-pod-0015,16000,49152,1,1000,,LS,Running,8396307,12902960,8396310,0,15,15
openb-pod-0016,32000,65536,0,0,,LS,Running,8962274,12902960,8962277,0,16,16
openb-pod-0017,88000,327680,8,1000,,Burstable,Succeeded,9437497,10769854,9437497,0,17,17
openb-pod-0018,6000,6144,1,460,,LS,Running,9476974,12902960,9476974,0,18,18
openb-pod-0019,8000,30517,1,470,,LS,Running,9664050,12902960,9664050,0,19,19
openb-pod-0020,8000,30517,1,470,,LS,Running,9664123,12902960,9664124,0,20,20
openb-pod-0021,8000,30517,1,440,,LS,Running,9671707,12902960,9671708,0,21,21
openb-pod-0022,4000,15258,1,220,,BestEffort,Running,9679175,9973826,9679175,0,22,22
openb-pod-0023,12000,24576,1,1000,,LS,Running,9766837,12902960,9766837,0,23,23
openb-pod-0024,16000,49152,1,1000,,LS,Running,9818766,12902960,9818768,0,24,24
openb-pod-0025,4000,15258,1,110,,LS,Running,9823530,10197645,9823530,0,25,25
openb-pod-0026,16000,32768,1,1000,,LS,Running,9924220,9964972,9924222,0,26,26
openb-pod-0027,1000,2048,1,320,,BestEffort,Running,9941376,9972429,9941376,0,27,27
openb-pod-0028,16000,32768,1,1000,,LS,Running,9949982,9978759,9949984,0,28,28
openb-pod-0029,4000,15258,1,220,,BestEffort,Running,9955274,10027972,9955274,0,29,29
openb-pod-0030,16000,32768,1,1000,,LS,Running,9957349,9967333,9957351,0,30,30
openb-pod-0031,16000,32768,1,1000,,LS,Running,9961302,9994357,9961304,0,31,31
openb-pod-0032,6000,12288,1,460,,LS,Running,9963454,9978153,9963454,0,32,32
openb-pod-0033,3152,5600,1,1000,,BestEffort,Failed,9965463,9965645,9965463,0,33,33
openb-pod-0034,16000,32768,1,1000,,LS,Running,9965619,9966774,9965621,0,34,34
openb-pod-0035,16000,32768,1,1000,,LS,Running,9967058,9968575,9967063,0,35,35
openb-pod-0036,3152,5600,1,1000,,BestEffort,Failed,9967204,9967404,9967204,0,36,36
openb-pod-0037,16000,32768,1,1000,,LS,Running,9970479,9971583,9970481,0,37,37
openb-pod-0038,4000,22888,1,480,,BestEffort,Running,9973579,9973962,9973579,0,38,38
openb-pod-0039,4000,15258,1,50,,BestEffort,Running,9973948,9981248,9973949,0,39,39
openb-pod-0040,8000,30517,1,230,,BestEffort,Running,9974338,9981274,9974338,0,40,40
openb-pod-0041,3152,5600,1,1000,,BestEffort,Failed,9976185,9976497,9976185,0,41,41
openb-pod-0042,3152,5600,1,1000,,BestEffort,Failed,9977555,9977866,9977555,0,42,42
openb-pod-0043,6000,18432,1,460,,LS,Running,9980855,10002453,9980855,0,43,43
openb-pod-0044,3152,5600,1,1000,,BestEffort,Failed,9983856,9984198,9983857,0,44,44
openb-pod-0045,3152,5600,1,1000,,BestEffort,Failed,9985207,9985592,9985207,0,45,45
openb-pod-0046,3152,5600,1,1000,,BestEffort,Failed,9989432,9989793,9989432,0,46,46
openb-pod-0047,3152,5600,1,1000,,BestEffort,Failed,9989615,9989817,9989615,0,47,47
openb-pod-0048,8000,30517,0,0,,BestEffort,Running,9992086,10013821,9992086,0,48,48
openb-pod-0049,8000,30517,0,0,,BestEffort,Running,9992086,10013820,9992086,0,49,49
openb-pod-0050,8000,30517,0,0,,BestEffort,Running,9992104,10013762,9992104,0,50,50
openb-pod-0051,4000,15258,1,320,,BestEffort,Running,9993395,9997068,9993395,0,51,51
openb-pod-0052,4000,15258,1,320,,BestEffort,Running,9993396,9997067,9993396,0,52,52
openb-pod-0053,12000,16384,1,1000,,LS,Running,9993753,10061253,9993753,0,53,53
openb-pod-0054,4000,24576,1,1000,,LS,Succeeded,9997763,10001500,9997763,0,54,54
openb-pod-0055,3152,5600,1,1000,,BestEffort,Failed,9999611,9999877,9999611,0,55,55
openb-pod-0056,12000,49152,1,1000,,LS,Succeeded,9999740,9999855,9999740,0,56,56
